"id","ATTRIBUTE"
"119241","B440|B440|B440|B458|B458|B458|B476|B476|B476|B536|H905|H905|H905|H941|H941|H941|H964|H964|H964|P105|P105|R699|R699|R699|R921|S051|S051|S051|S416|T603|T609|T609|Y330|Y330"
"119246","B440|B440|B440|B458|B458|B458|B476|B476|B476|B536|B536|B536|H646|H905|H905|H905|H941|H941|H941|H964|H964|H964|P105|P105|P105|Q768|R699|R699|R699|R921|R921|R921|S051|S051|S051|S103|S416|S416|S416|T603|T603|T603|T609|T609|T609|T851|T851|X508|Y011|Y011|Y260|Y260|Y330|Y330|Y678"
"119248","B440|B440|B440|B458|B458|B476|B476|B476|B536|B536|B536|H905|H905|H905|H941|H941|H941|H964|H964|H964|P105|P105|P105|R699|R699|R699|R921|R921|S051|S051|S051|S416|S416|S416|T603|T603|T603|T609|T609|Y330|Y330"
"119262","B476|B536|B536|H941|H941|H964|H964|P105|P105|R699|R921|S051|S416|S416|T603|T609|T851|Y011|Y260|Y330|Y330|Y678"
"119274","R699|T609"
"11969","H905|H941|H964"
"11974","H996"
"119840","B440|B440|B476|B476|B527|B536|H898|R699|R699|S197|S197|T250|T250|Y012|Y012|Y678"
"119841","B458|B527|H646|H646|H905|T403|Y679|Y679"
"119853","B527|H643"
"119865","S237"
"119866","S237|S237"
"119867","S237|S237"
"119868","S237|S237"
"119949","T088|T138"
"119951",NA
"120032","H898|H898"
"120033",NA
"120034","H898|H898"
"120036","H898"
"120037","H898|H898"
"120038","H898|H898"
"120039","H898|H898"
"120040","H898|H898"
"120044",NA
"120048","H898"
"123897",NA
"123902","H646|S996"
"123903","T849|Y690"
"124024","H964|P105|T609"
"124060","B458|H646|H905|H964|S051|S416|Y678"
"124075","H713|H905"
"124086","H905|H905|P105|R921|S416|T603|Y330"
"124138","H905|H964"
"124199","H941"
"124202","H941"
"124231","B536|R921"
"124235","R699|T138"
"124250","H646|H941|S205"
"124268","B476|R921"
"124358","B440|H905"
"124401","B440|B458|B458|B458|B536"
"124844","B476|R699"
"125109","R699|R921|T603"
"125584","H898|H905|Y678"
"126085","B440|T569|Y012"
"13095","H643|H713|S863"
"13096","H713|S863"
"13099","H713|S863"
"13102","S243|S960|Y282|Y678"
"13152","H713"
"13153","H713"
"136406","B536|S197|T148|Y678"
"137119",NA
"138976","H643|Q884|S243|T150|T609|Y011|Y694|Y703"
"138979","R921|Y230"
"138991","T001"
"139005","Q884|Y011"
"139006",NA
"139008",NA
"139028","Q748|S051"
"139091","S673|T250|T799"
"139098","H962|T250"
"139212",NA
"139225","S243|S991|X891"
"139234","H996|X482"
"139238","H877|H996|Q748|T005"
"139297","H898"
"139302",NA
"139330","S996|T045|T569"
"139334",NA
"139335",NA
"139340",NA
"139341","H646|H898|S197|T029|Y231|Y678"
"139342","H898|Y231"
"139352","S197|T148"
"139367","H646|S205|T569"
"139398","H964|S051"
"139399","Q768|S863"
"139405",NA
"139422","S863"
"139423","S863"
"139425","S863"
"139507","H643|H941|H964|P193|Y679"
"139508","H643|H905|H941|S673|T849|Y679"
"139530","S143|T603"
"139532","S143|T603"
"139553","B476|R107|R425|S143|S296|S744|S860|T088|T138|T250|T403|T569|Y282|Y498"
"139558","B476|T584"
"139560",NA
"139564",NA
"139565","T003|T003"
"139573",NA
"139656",NA
"139667","H964|Q884|R921|T855|Y239"
"139668","T855"
"139674",NA
"139687","Q768"
"139691","B527|R942"
"139692","S051|T854"
"139704",NA
"139709",NA
"139739",NA
"139742","B440|S801"
"139812",NA
"140003","B440"
"140004","T131"
"140009","S299|T798|T850|T859|X481"
"140010","T800|T859"
"140013","S299|T798|T857"
"140016","T850|X481"
"140018","T800|T850"
"140036","B440|B440|B476|B476|B536|B536|R699|R699|S197|S197|S416|T250|T250|Y012|Y012|Y678|Y678"
"140037",NA
"140042","B458|B476|B527|B536|H646|H941|H964|P105|Q884|R510|S051|S237|S801|S996|T029|T084|T603|T609|Y486"
"140045","B527|H643|H732|H905|H962|P105|R942|S051|S055|S103|S416|S820|S860|T005|T029|T131|X508|Y011|Y260|Y281|Y282|Y363|Y694"
"140046",NA
"140048","H996|T001|T131"
"140226",NA
"140310","T850|T850"
"140312","T798|T850|T850|X814"
"140341","Y685"
"140396","B458|H905|H996|R699|R921|S416|X891|Y012|Y678"
"140408","B476|B536|H905|S197|S205|S237|S996|T603|Y231|Y678"
"140471",NA
"140474","H898|S237|S237|S996|T569|Y012"
"140478",NA
"140533","H646|R894|T029"
"140715","B476"
"140733","B440|H646|H941|Q768|Q768|R107|R107|S205|S205|S996|T569|X891|Y678"
"140887",NA
"141276",NA
"141599","H941"
"141839","Y330|Y330"
"142215","H905|H941|H941|H964|R699|R921|T603|T609|T609"
"142216","B458|B476|B536|H905|H941|P105|R699|S051|T609|Y330"
"142217","B440|B458|B476|B476|H941|H941|H964|P105|P105|R699|R699|S416|S416|T603|T609|Y330"
"142218","B536|P105|S051|S416|S416|T609"
"142219","B440|B458|B536|H941|H941|H964|S416|T609"
"142223","B440|B458|B536|H905|H905|H941|H941|H964|H964|R699|R921"
"142228","B476|B536|S051"
"142285","T045|T148|T148"
"142298",NA
"142299",NA
"142301",NA
"142306",NA
"142313","Y234|Y234"
"142340",NA
"142341",NA
"142342",NA
"142343","S205|T045|T138|T148"
"142344","S205|T045|T148"
"142345","S205|T569"
"142346","T045|T138"
"142348","T045|T138|T569"
"142349","T148"
"142351","T569"
"142354","T133|Y690"
"142356","H646|Q768|Q884|S801|T029|T133|T403|X891"
"142357",NA
"142361","B527|Q768|S055|S673"
"142394","H962|Q768|T250|Y011|Y011|Y234|Y260"
"142410","T148"
"142421","S996|S996|T045|T045"
"142439","T798|T859"
"142527",NA
"144101","B536|S991|X891|Y231"
"144292","Y231|Y231|Y231"
"144516","H962|Y282"
"144730","Q768|S960|Y239"
"144750","R894|S991|T029|T138|T250|Y646"
"146572",NA
"146602",NA
"146606","T138|T250"
"146607","T029|T250|T261"
"146621",NA
"146634",NA
"146651",NA
"146711","H905|H941|R107|R425|R699|S205|S673|T029|T569|X891"
"146712","B536|H905|H941|H964|Q768|R425|R894|S197|S960|S960|T045|T603"
"146729","B440|B458|H646|H905|H964|Q768|Q768|R425|R699|R894|S197|S205|S991|S996|T029|T138|T138|T148|T148|T569|X891|Y012|Y202|Y678"
"146766",NA
"146813",NA
"146945","H941|H941"
"146966","B458|B458|H941|H964|H964|R921|S051|S416|S416|T609|T609|T609"
"146968","B440|B458|B476|B536|H905|H905|H941|H941|H964|H964|P105|R699|S416|S416|T603|T603|T603|T609|T609"
"146969","B458|B458|B458|B476|B536|H905|H905|H941|H941|H964|H964|P105|P105|R699|R699|R921|R921|R921|S051|S051|S416|S416|T603|T609|T609|Y330"
"147068","H941|R921"
"147220","H964|H964"
"147440","B536|H941"
"147523","B440|B458|B536|R699|S416|S416|T603|T603|T609"
"14826",NA
"148605","Y231|Y231|Y231"
"15142",NA
"151932","B476|H713|H964|R699|T261"
"151934","H877|H996"
"151938","Q768|Y681"
"151941","R107|S197|T029"
"151946","S243|S801|Y486"
"151950",NA
"151951",NA
"151952",NA
"151956",NA
"151959","S960"
"151960","S960|T799"
"151970","T045|T138"
"151971","T045|T138"
"151973",NA
"151980","H996|X508"
"151984","B458|B458|B458|B476|B536|P105|R699|R699|R699|S416|S416|S416|T609|T609|T609"
"151985","X482"
"151995","T088"
"151996","T088|T088"
"152002","T150|T851"
"152007","T150|T851"
"152008","T150|T150"
"152035","T851"
"152045","T584"
"152161",NA
"152206","Y260"
"152211",NA
"152292","Y202"
"152299","Y202"
"152305",NA
"152306","R107|R114|S237|S673|T045|T148|T569"
"152307","B440|B458|H646|Q768|R107|S197|S237|S801|S960|S996|T138|T569|X482|Y281|Y330|Y678"
"152314","Q768|R114|R894|R909|S055|S205|S237|S801|S801|S960|S996|T003|T029|T045|T084|T603|T609|X891|Y012|Y363|Y646"
"152325","H877|S863|Y202|Y202"
"152327","R107|R894|T603"
"152328","H963|R894|S673|S960|S996|T603|Y678"
"152344","H905|R107|S197|S673|T138|X891"
"152346","Y202|Y280"
"152390","Q768|S863|T569|Y678"
"152391",NA
"152443","R894|R894"
"152451",NA
"152705","H898|S197|Y012|Y678|Y678"
"152751","Y012|Y678"
"152895","S103|T851"
"152926","T150|T854|Y282|Y694"
"152935","Y280|Y685"
"152962","P105|T029"
"152983",NA
"152985",NA
"153023","R107"
"153091","Y011|Y260"
"153097",NA
"153102",NA
"153104",NA
"153109","T798|T800"
"153125",NA
"153126",NA
"153127",NA
"153137","S996|S996|S996"
"153138","S996|S996"
"153202",NA
"153203","S243|Y486|Y685"
"153207","H646|H941|H964|P193|R107|R107|S197|S197|S237|S673|T849|Y678"
"153218","S197|T849"
"153221","S205"
"153222","Q768"
"153245","S103|T851|Y011"
"153246","S103|T851|T851|Y011|Y011|Y234"
"153380","S205"
"153405","S205|Y012"
"153416","S197|Y012"
"153418","R107"
"153420","S205|T569|Y678"
"153426","S863"
"153427","S863"
"153429","S863"
"153430","S863"
"153432","H964|Q884|R699|S991|Y012|Y678"
"153437","B527|H646|Q768|R114|R425|R894|R909|S205|S237|S673|S801|S863|S991|S996|T003|T045|T569|T603|X891|Y231|Y244|Y330|Y679"
"153464","X508|Y280"
"153484","S205|X891|Y330"
"153491","T045|T584|T603|Y239"
"153543","S205|T603|Y202"
"153674","H646|Y012|Y678"
"154613","H646|H646|Y330"
"154615","H646|H713|T584"
"154627",NA
"154632","T569|T569"
"154636","S996|S996"
"154637","S996|S996"
"154642","S237|T138"
"154646","T138|T569"
"154671",NA
"154675","T088|T088"
"154676","S801"
"154679","B440|R699|T250|T261|Y012"
"154682","S237|Y012"
"154709","T798|T850|X814"
"154710","T798|X814"
"154711","B536|S051|T603|T603"
"154712","B458|H964|R921"
"154713","B458|H905|H941|T603|Y330"
"154714","H964|R699|T609"
"154716","B440|B536|B536|H905|H941|H941|H964|P105|R921|R921|S051"
"154717","H964|T603|Y330"
"154719","B536|P105"
"154720","H905|P105|R699|S051|S416"
"154726","H964|T603"
"154738","P193"
"154743",NA
"154744","B440|B440|B458|H643|H646|H646|H941|H963|S197|S205|S673|S991|T045|T569|T799|X891|Y012|Y678"
"154746","H646|H898|H996|Q884|S055|S237|S991|S996|Y202|Y231|Y231"
"154747","B527|Q748"
"154765","H964|S205|T148|Y244"
"154845","Y244"
"154850","B440|B476|B476|R699|S197|S197|S197|T045|T250|T250|T569|Y012|Y012|Y012|Y678"
"154853","B440|B476|B476|S197|Y012|Y012|Y012"
"154858","Q768"
"154859",NA
"154941","H646|Y231"
"154945","B440|P105|P105|Y231"
"155034","B476|T603"
"155285","Q768"
"155347","H962|Y239|Y486|Y685"
"155354","S205"
"155374","T584"
"155394","T029"
"155395","T029"
"155396","T029"
"155398","T029"
"155401","T029"
"155411","H898|R107|R894"
"155412","H898|H898|R894"
"155417","S299|T800"
"155419","S299|X481"
"155421",NA
"155422",NA
"155423","R107|R107|R107"
"155432","H905|H964|P105|R699|S416|T603|T603|T609"
"155433","B458|B458|H905|H905|H941|H964|R699|R921|R921|S416|T609|Y330"
"155435","B440|B458|B476|H905|H964|H964|R699|R699|R921|R921|T603|T609"
