"Stratum","Count","pi","Total","pi_ln_pi","shannon_index"
"0.70-0.75",4,0.0327868852459016,122,-0.112056612577487,0.578914250512889
"0.75-0.80",7,0.0573770491803279,122,-0.163989969424144,0.578914250512889
"0.80-0.85",4,0.0327868852459016,122,-0.112056612577487,0.578914250512889
"0.85-0.90",4,0.0327868852459016,122,-0.112056612577487,0.578914250512889
"0.90-0.95",1,0.00819672131147541,122,-0.0393772216781414,0.578914250512889
"0.95-1.00",1,0.00819672131147541,122,-0.0393772216781414,0.578914250512889
