"Stratum","MQScore_Count"
"0.00-0.05",10
"0.05-0.10",6
"0.10-0.15",4
"0.15-0.20",4
"0.20-0.25",1
"0.25-0.30",1
"0.30-0.35",2
"0.35-0.40",1
"0.40-0.45",1
"0.45-0.50",0
"0.50-0.55",1
"0.55-0.60",0
"0.60-0.65",0
"0.65-0.70",1
"0.70-0.75",3
"0.75-0.80",10
"0.80-0.85",1
"0.85-0.90",0
"0.90-0.95",0
"0.95-1.00",0
