"Stratum","MQScore_Count"
"0.00-0.05",5
"0.05-0.10",5
"0.10-0.15",2
"0.15-0.20",3
"0.20-0.25",0
"0.25-0.30",1
"0.30-0.35",1
"0.35-0.40",0
"0.40-0.45",0
"0.45-0.50",0
"0.50-0.55",1
"0.55-0.60",0
"0.60-0.65",0
"0.65-0.70",1
"0.70-0.75",0
"0.75-0.80",3
"0.80-0.85",1
"0.85-0.90",0
"0.90-0.95",0
"0.95-1.00",0
