"Stratum","Count","pi","Total","pi_ln_pi","shannon_index"
"0.70-0.75",4,0.0232558139534884,172,-0.0874697701324084,0.169191799605202
"0.75-0.80",2,0.0116279069767442,172,-0.0517947360029478,0.169191799605202
"0.80-0.85",0,0,172,0,0.169191799605202
"0.85-0.90",0,0,172,0,0.169191799605202
"0.90-0.95",1,0.00581395348837209,172,-0.0299272934698457,0.169191799605202
"0.95-1.00",0,0,172,0,0.169191799605202
