"Stratum","Count","pi","Total","pi_ln_pi","shannon_index"
"0.70-0.75",13,0.0467625899280576,278,-0.143218463420785,1.47874688216806
"0.75-0.80",18,0.0647482014388489,278,-0.17723197267734,1.47874688216806
"0.80-0.85",40,0.143884892086331,278,-0.278955634471468,1.47874688216806
"0.85-0.90",25,0.0899280575539568,278,-0.216613784966046,1.47874688216806
"0.90-0.95",54,0.194244604316547,278,-0.318296408722387,1.47874688216806
"0.95-1.00",68,0.244604316546763,278,-0.344430617910029,1.47874688216806
