"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00321543408360129,311,-0.0184559257626342,0.148273179309111
"0.05-0.10",4,0.0128617363344051,311,-0.0559935504959401,0.148273179309111
"0.10-0.15",1,0.00321543408360129,311,-0.0184559257626342,0.148273179309111
"0.15-0.20",0,0,311,0,0.148273179309111
"0.20-0.25",0,0,311,0,0.148273179309111
"0.25-0.30",1,0.00321543408360129,311,-0.0184559257626342,0.148273179309111
"0.30-0.35",0,0,311,0,0.148273179309111
"0.35-0.40",0,0,311,0,0.148273179309111
"0.40-0.45",0,0,311,0,0.148273179309111
"0.45-0.50",0,0,311,0,0.148273179309111
"0.50-0.55",1,0.00321543408360129,311,-0.0184559257626342,0.148273179309111
"0.55-0.60",0,0,311,0,0.148273179309111
"0.60-0.65",0,0,311,0,0.148273179309111
"0.65-0.70",0,0,311,0,0.148273179309111
"0.70-0.75",0,0,311,0,0.148273179309111
"0.75-0.80",1,0.00321543408360129,311,-0.0184559257626342,0.148273179309111
"0.80-0.85",0,0,311,0,0.148273179309111
"0.85-0.90",0,0,311,0,0.148273179309111
"0.90-0.95",0,0,311,0,0.148273179309111
"0.95-1.00",0,0,311,0,0.148273179309111
