"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00166944908180301,599,-0.0106765636028639,0.0868316810326536
"0.05-0.10",4,0.00667779632721202,599,-0.0334488630183343,0.0868316810326536
"0.10-0.15",1,0.00166944908180301,599,-0.0106765636028639,0.0868316810326536
"0.15-0.20",0,0,599,0,0.0868316810326536
"0.20-0.25",0,0,599,0,0.0868316810326536
"0.25-0.30",1,0.00166944908180301,599,-0.0106765636028639,0.0868316810326536
"0.30-0.35",0,0,599,0,0.0868316810326536
"0.35-0.40",0,0,599,0,0.0868316810326536
"0.40-0.45",0,0,599,0,0.0868316810326536
"0.45-0.50",0,0,599,0,0.0868316810326536
"0.50-0.55",1,0.00166944908180301,599,-0.0106765636028639,0.0868316810326536
"0.55-0.60",0,0,599,0,0.0868316810326536
"0.60-0.65",0,0,599,0,0.0868316810326536
"0.65-0.70",0,0,599,0,0.0868316810326536
"0.70-0.75",0,0,599,0,0.0868316810326536
"0.75-0.80",1,0.00166944908180301,599,-0.0106765636028639,0.0868316810326536
"0.80-0.85",0,0,599,0,0.0868316810326536
"0.85-0.90",0,0,599,0,0.0868316810326536
"0.90-0.95",0,0,599,0,0.0868316810326536
"0.95-1.00",0,0,599,0,0.0868316810326536
