"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.003690036900369,271,-0.0206720251692978,0.165586317134457
"0.05-0.10",4,0.014760147601476,271,-0.0622261912879677,0.165586317134457
"0.10-0.15",1,0.003690036900369,271,-0.0206720251692978,0.165586317134457
"0.15-0.20",0,0,271,0,0.165586317134457
"0.20-0.25",0,0,271,0,0.165586317134457
"0.25-0.30",1,0.003690036900369,271,-0.0206720251692978,0.165586317134457
"0.30-0.35",0,0,271,0,0.165586317134457
"0.35-0.40",0,0,271,0,0.165586317134457
"0.40-0.45",0,0,271,0,0.165586317134457
"0.45-0.50",0,0,271,0,0.165586317134457
"0.50-0.55",1,0.003690036900369,271,-0.0206720251692978,0.165586317134457
"0.55-0.60",0,0,271,0,0.165586317134457
"0.60-0.65",0,0,271,0,0.165586317134457
"0.65-0.70",0,0,271,0,0.165586317134457
"0.70-0.75",0,0,271,0,0.165586317134457
"0.75-0.80",1,0.003690036900369,271,-0.0206720251692978,0.165586317134457
"0.80-0.85",0,0,271,0,0.165586317134457
"0.85-0.90",0,0,271,0,0.165586317134457
"0.90-0.95",0,0,271,0,0.165586317134457
"0.95-1.00",0,0,271,0,0.165586317134457
