"Stratum","MQScore_Count","Cosine_Score_Count"
"0.01-0.06",12,8
"0.06-0.11",16,12
"0.11-0.16",3,10
"0.16-0.21",5,33
"0.21-0.26",2,46
"0.26-0.31",3,53
"0.31-0.36",1,NA
"0.36-0.41",1,NA
"0.41-0.46",0,NA
"0.46-0.51",0,NA
"0.51-0.56",0,NA
"0.56-0.61",0,NA
"0.61-0.66",0,NA
"0.66-0.71",2,NA
"0.71-0.76",0,NA
"0.76-0.81",3,NA
"0.81-0.86",0,NA
"0.86-0.91",1,NA
"0.91-0.96",2,NA
"Shannon_Index",2.04410244455108,1.56038653124479
