"Stratum","Count","pi","Total","pi_ln_pi","shannon_index"
"0.70-0.75",9,0.05625,160,-0.16188464463174,1.09120225326053
"0.75-0.80",20,0.125,160,-0.259930192709979,1.09120225326053
"0.80-0.85",18,0.1125,160,-0.245790231450487,1.09120225326053
"0.85-0.90",7,0.04375,160,-0.13690528539531,1.09120225326053
"0.90-0.95",7,0.04375,160,-0.13690528539531,1.09120225326053
"0.95-1.00",8,0.05,160,-0.1497866136777,1.09120225326053
