"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00393700787401575,254,-0.0218005286103092,0.174373350231052
"0.05-0.10",4,0.015748031496063,254,-0.0653707071795062,0.174373350231052
"0.10-0.15",1,0.00393700787401575,254,-0.0218005286103092,0.174373350231052
"0.15-0.20",0,0,254,0,0.174373350231052
"0.20-0.25",0,0,254,0,0.174373350231052
"0.25-0.30",1,0.00393700787401575,254,-0.0218005286103092,0.174373350231052
"0.30-0.35",0,0,254,0,0.174373350231052
"0.35-0.40",0,0,254,0,0.174373350231052
"0.40-0.45",0,0,254,0,0.174373350231052
"0.45-0.50",0,0,254,0,0.174373350231052
"0.50-0.55",1,0.00393700787401575,254,-0.0218005286103092,0.174373350231052
"0.55-0.60",0,0,254,0,0.174373350231052
"0.60-0.65",0,0,254,0,0.174373350231052
"0.65-0.70",0,0,254,0,0.174373350231052
"0.70-0.75",0,0,254,0,0.174373350231052
"0.75-0.80",1,0.00393700787401575,254,-0.0218005286103092,0.174373350231052
"0.80-0.85",0,0,254,0,0.174373350231052
"0.85-0.90",0,0,254,0,0.174373350231052
"0.90-0.95",0,0,254,0,0.174373350231052
"0.95-1.00",0,0,254,0,0.174373350231052
