"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00152905198776758,654,-0.00991300818265627,0.080738209049901
"0.05-0.10",4,0.00611620795107034,654,-0.0311731681366196,0.080738209049901
"0.10-0.15",1,0.00152905198776758,654,-0.00991300818265627,0.080738209049901
"0.15-0.20",0,0,654,0,0.080738209049901
"0.20-0.25",0,0,654,0,0.080738209049901
"0.25-0.30",1,0.00152905198776758,654,-0.00991300818265627,0.080738209049901
"0.30-0.35",0,0,654,0,0.080738209049901
"0.35-0.40",0,0,654,0,0.080738209049901
"0.40-0.45",0,0,654,0,0.080738209049901
"0.45-0.50",0,0,654,0,0.080738209049901
"0.50-0.55",1,0.00152905198776758,654,-0.00991300818265627,0.080738209049901
"0.55-0.60",0,0,654,0,0.080738209049901
"0.60-0.65",0,0,654,0,0.080738209049901
"0.65-0.70",0,0,654,0,0.080738209049901
"0.70-0.75",0,0,654,0,0.080738209049901
"0.75-0.80",1,0.00152905198776758,654,-0.00991300818265627,0.080738209049901
"0.80-0.85",0,0,654,0,0.080738209049901
"0.85-0.90",0,0,654,0,0.080738209049901
"0.90-0.95",0,0,654,0,0.080738209049901
"0.95-1.00",0,0,654,0,0.080738209049901
