"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00214132762312634,467,-0.013161304620276,0.106577699945483
"0.05-0.10",4,0.00856531049250535,467,-0.0407711768441028,0.106577699945483
"0.10-0.15",1,0.00214132762312634,467,-0.013161304620276,0.106577699945483
"0.15-0.20",0,0,467,0,0.106577699945483
"0.20-0.25",0,0,467,0,0.106577699945483
"0.25-0.30",1,0.00214132762312634,467,-0.013161304620276,0.106577699945483
"0.30-0.35",0,0,467,0,0.106577699945483
"0.35-0.40",0,0,467,0,0.106577699945483
"0.40-0.45",0,0,467,0,0.106577699945483
"0.45-0.50",0,0,467,0,0.106577699945483
"0.50-0.55",1,0.00214132762312634,467,-0.013161304620276,0.106577699945483
"0.55-0.60",0,0,467,0,0.106577699945483
"0.60-0.65",0,0,467,0,0.106577699945483
"0.65-0.70",0,0,467,0,0.106577699945483
"0.70-0.75",0,0,467,0,0.106577699945483
"0.75-0.80",1,0.00214132762312634,467,-0.013161304620276,0.106577699945483
"0.80-0.85",0,0,467,0,0.106577699945483
"0.85-0.90",0,0,467,0,0.106577699945483
"0.90-0.95",0,0,467,0,0.106577699945483
"0.95-1.00",0,0,467,0,0.106577699945483
