"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00278551532033426,359,-0.0163880846475997,0.132046585102827
"0.05-0.10",4,0.011142061281337,359,-0.0501061618648288,0.132046585102827
"0.10-0.15",1,0.00278551532033426,359,-0.0163880846475997,0.132046585102827
"0.15-0.20",0,0,359,0,0.132046585102827
"0.20-0.25",0,0,359,0,0.132046585102827
"0.25-0.30",1,0.00278551532033426,359,-0.0163880846475997,0.132046585102827
"0.30-0.35",0,0,359,0,0.132046585102827
"0.35-0.40",0,0,359,0,0.132046585102827
"0.40-0.45",0,0,359,0,0.132046585102827
"0.45-0.50",0,0,359,0,0.132046585102827
"0.50-0.55",1,0.00278551532033426,359,-0.0163880846475997,0.132046585102827
"0.55-0.60",0,0,359,0,0.132046585102827
"0.60-0.65",0,0,359,0,0.132046585102827
"0.65-0.70",0,0,359,0,0.132046585102827
"0.70-0.75",0,0,359,0,0.132046585102827
"0.75-0.80",1,0.00278551532033426,359,-0.0163880846475997,0.132046585102827
"0.80-0.85",0,0,359,0,0.132046585102827
"0.85-0.90",0,0,359,0,0.132046585102827
"0.90-0.95",0,0,359,0,0.132046585102827
"0.95-1.00",0,0,359,0,0.132046585102827
