"Sample","Hmsq","Hcos","Ans","IQ"
"B440-3-Bu.mzXML",0.876677856186689,0.946602706806304,0.384146341463415,0.264191031847864
"B440-3-EA.mzXML",0.779786487663906,0.838896175844754,0.481481481481481,0.299945285003286
"B440-3-Me.mzXML",0.731491845018109,0.943095244516956,0.370892018779343,0.318173630561864
"B458-3-Bu.mzXML",0.73307814929342,0.95251903469479,0.329896907216495,0.328168636265098
"B458-3-EA.mzXML",0.758916079456478,0.882837924557488,0.389705882352941,0.322846704544364
"B458-3-Me.mzXML",0.765963346308893,0.972632668379458,0.356643356643357,0.301586876222764
"B476-3-Bu.mzXML",0.698285975102876,0.935223442006284,0.482758620689655,0.294577320733728
"B476-3-EA.mzXML",0.810151531877124,0.873606628492138,0.394495412844037,0.3072488089289
"B476-3-Me.mzXML",0.763446905832453,0.952359727010933,0.391304347826087,0.297629673110176
"B527-3-Bu.mzXML",0.707185531035634,0.7706423840942,0.425925925925926,0.365415386314747
"B527-3-EA.mzXML",0.701042313196749,0.81998238940638,0.264705882352941,0.40475647168131
"B527-3-Me.mzXML",0.611081284638168,0.784339785104716,0.226666666666667,0.459304087863483
"B536-3-Bu.mzXML",0.791611085485175,0.946886730762005,0.44,0.27383406125094
"B536-3-EA.mzXML",0.820134716865585,0.929566790836463,0.485714285714286,0.254861402194555
"B536-3-Me.mzXML",0.783294660403291,0.927183635023018,0.390532544378698,0.299663053398331
"H643-3-Bu.mzXML",0.644202237314338,0.955079336645135,0.428571428571429,0.324048999156366
"H643-3-EA.mzXML",0.644202237314338,0.874330567059872,0.391304347826087,0.363387615933235
"H643-3-Me.mzXML",0.792062968671435,0.854944692741041,0.32,0.344330779529175
"H646-3-Bu.mzXML",0.853257384900326,0.842230659797019,0.294736842105263,0.336591704399131
"H646-3-EA.mzXML",0.878164409955143,0.919574448376695,0.353591160220994,0.282889993815723
"H646-3-Me.mzXML",0.866040430175287,0.977840009260677,0.31140350877193,0.281572017264035
"H713-3-Bu.mzXML",0.793901179669304,0.993002493174307,0.27906976744186,0.311342186571509
"H713-3-EA.mzXML",0.774677714985165,0.932638526972563,0.402777777777778,0.296635326754831
"H713-3-Me.mzXML",0.696606080815241,0.859030602364744,0.238095238095238,0.402089359574926
"H718-3-Bu.mzXML",0.386018231737202,0.937246079309314,0.8,0.292245229651161
"H718-3-EA.mzXML",0.494599523142979,0.857392457158709,0.5,0.382669339899437
