"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.0227272727272727,44,-0.0860043098617787,0.6480120286542
"0.05-0.10",4,0.0909090909090909,44,-0.217990479345306,0.6480120286542
"0.10-0.15",1,0.0227272727272727,44,-0.0860043098617787,0.6480120286542
"0.15-0.20",0,0,44,0,0.6480120286542
"0.20-0.25",0,0,44,0,0.6480120286542
"0.25-0.30",1,0.0227272727272727,44,-0.0860043098617787,0.6480120286542
"0.30-0.35",0,0,44,0,0.6480120286542
"0.35-0.40",0,0,44,0,0.6480120286542
"0.40-0.45",0,0,44,0,0.6480120286542
"0.45-0.50",0,0,44,0,0.6480120286542
"0.50-0.55",1,0.0227272727272727,44,-0.0860043098617787,0.6480120286542
"0.55-0.60",0,0,44,0,0.6480120286542
"0.60-0.65",0,0,44,0,0.6480120286542
"0.65-0.70",0,0,44,0,0.6480120286542
"0.70-0.75",0,0,44,0,0.6480120286542
"0.75-0.80",1,0.0227272727272727,44,-0.0860043098617787,0.6480120286542
"0.80-0.85",0,0,44,0,0.6480120286542
"0.85-0.90",0,0,44,0,0.6480120286542
"0.90-0.95",0,0,44,0,0.6480120286542
"0.95-1.00",0,0,44,0,0.6480120286542
