"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00267379679144385,374,-0.0158402561428196,0.12773562762634
"0.05-0.10",4,0.0106951871657754,374,-0.0485343469122421,0.12773562762634
"0.10-0.15",1,0.00267379679144385,374,-0.0158402561428196,0.12773562762634
"0.15-0.20",0,0,374,0,0.12773562762634
"0.20-0.25",0,0,374,0,0.12773562762634
"0.25-0.30",1,0.00267379679144385,374,-0.0158402561428196,0.12773562762634
"0.30-0.35",0,0,374,0,0.12773562762634
"0.35-0.40",0,0,374,0,0.12773562762634
"0.40-0.45",0,0,374,0,0.12773562762634
"0.45-0.50",0,0,374,0,0.12773562762634
"0.50-0.55",1,0.00267379679144385,374,-0.0158402561428196,0.12773562762634
"0.55-0.60",0,0,374,0,0.12773562762634
"0.60-0.65",0,0,374,0,0.12773562762634
"0.65-0.70",0,0,374,0,0.12773562762634
"0.70-0.75",0,0,374,0,0.12773562762634
"0.75-0.80",1,0.00267379679144385,374,-0.0158402561428196,0.12773562762634
"0.80-0.85",0,0,374,0,0.12773562762634
"0.85-0.90",0,0,374,0,0.12773562762634
"0.90-0.95",0,0,374,0,0.12773562762634
"0.95-1.00",0,0,374,0,0.12773562762634
