"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.0181818181818182,55,-0.0728606033678631,0.554924022229321
"0.05-0.10",4,0.0727272727272727,55,-0.190621005390006,0.554924022229321
"0.10-0.15",1,0.0181818181818182,55,-0.0728606033678631,0.554924022229321
"0.15-0.20",0,0,55,0,0.554924022229321
"0.20-0.25",0,0,55,0,0.554924022229321
"0.25-0.30",1,0.0181818181818182,55,-0.0728606033678631,0.554924022229321
"0.30-0.35",0,0,55,0,0.554924022229321
"0.35-0.40",0,0,55,0,0.554924022229321
"0.40-0.45",0,0,55,0,0.554924022229321
"0.45-0.50",0,0,55,0,0.554924022229321
"0.50-0.55",1,0.0181818181818182,55,-0.0728606033678631,0.554924022229321
"0.55-0.60",0,0,55,0,0.554924022229321
"0.60-0.65",0,0,55,0,0.554924022229321
"0.65-0.70",0,0,55,0,0.554924022229321
"0.70-0.75",0,0,55,0,0.554924022229321
"0.75-0.80",1,0.0181818181818182,55,-0.0728606033678631,0.554924022229321
"0.80-0.85",0,0,55,0,0.554924022229321
"0.85-0.90",0,0,55,0,0.554924022229321
"0.90-0.95",0,0,55,0,0.554924022229321
"0.95-1.00",0,0,55,0,0.554924022229321
