"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.0185185185185185,54,-0.0738700749363754,0.562142203233313
"0.05-0.10",4,0.0740740740740741,54,-0.192791828551436,0.562142203233313
"0.10-0.15",1,0.0185185185185185,54,-0.0738700749363754,0.562142203233313
"0.15-0.20",0,0,54,0,0.562142203233313
"0.20-0.25",0,0,54,0,0.562142203233313
"0.25-0.30",1,0.0185185185185185,54,-0.0738700749363754,0.562142203233313
"0.30-0.35",0,0,54,0,0.562142203233313
"0.35-0.40",0,0,54,0,0.562142203233313
"0.40-0.45",0,0,54,0,0.562142203233313
"0.45-0.50",0,0,54,0,0.562142203233313
"0.50-0.55",1,0.0185185185185185,54,-0.0738700749363754,0.562142203233313
"0.55-0.60",0,0,54,0,0.562142203233313
"0.60-0.65",0,0,54,0,0.562142203233313
"0.65-0.70",0,0,54,0,0.562142203233313
"0.70-0.75",0,0,54,0,0.562142203233313
"0.75-0.80",1,0.0185185185185185,54,-0.0738700749363754,0.562142203233313
"0.80-0.85",0,0,54,0,0.562142203233313
"0.85-0.90",0,0,54,0,0.562142203233313
"0.90-0.95",0,0,54,0,0.562142203233313
"0.95-1.00",0,0,54,0,0.562142203233313
