"Stratum","MQScore_Count","Cosine_Score_Count"
"0.01-0.06",6,6
"0.06-0.11",5,4
"0.11-0.16",3,15
"0.16-0.21",4,9
"0.21-0.26",2,41
"0.26-0.31",3,20
"0.31-0.36",1,NA
"0.36-0.41",0,NA
"0.41-0.46",1,NA
"0.46-0.51",1,NA
"0.51-0.56",1,NA
"0.56-0.61",0,NA
"0.61-0.66",0,NA
"0.66-0.71",4,NA
"0.71-0.76",2,NA
"0.76-0.81",3,NA
"0.81-0.86",4,NA
"0.86-0.91",0,NA
"0.91-0.96",0,NA
"Shannon_Index",2.48654500333318,1.51321785288093
