"ATTRIBUTE_Species","id","MQScore"
"1","1536","0.793892"
"1","1964","0.550612"
"1","139","0.9032709999999999"
"1","1070","0.722402"
"1","1725","0.7896449999999999"
"1","1386","0.789229"
"1","1167","0.9541360000000001"
"1","2414","0.723683"
"1","26","0.917538"
"1","437","0.965032"
"1","1351","0.9354399999999999"
"1","2529","0.329436"
"1","948","0.9042120000000001"
"1","667","0.455192"
"1","624","0.8994719999999999"
"1","2213","0.9466549999999999"
"1","1177","0.779072"
"1","123","0.41053999999999996"
"1","2339","0.658071"
"1","2334","0.713969"
"1","988","0.8506670000000001"
"1","2313","0.697766"
"1","1534","0.9038219999999999"
"1","1354","0.532782"
"1","1069","0.607068"
"1","82","0.480415"
"1","1500","0.810052"
"1","760","0.504191"
"1","880","0.8948299999999999"
"1","968","0.904324"
"1","166","0.934111"
"1","891","0.9494790000000001"
"1","1514","0.8253149999999999"
"1","2534","0.85001"
"1","1502","0.847724"
"1","1277","0.63007"
"1","62","0.663866"
"1","1171","0.8387129999999999"
"1","1636","0.493123"
"1","136","0.510338"
"1","370","0.759985"
"1","994","0.8201"
"1","679","0.809874"
"1","131","0.817293"
"1","28","0.9330719999999999"
"1","113","0.971548"
"1","1535","0.8151149999999999"
"1","404","0.519856"
"1","2092","0.814929"
"1","383","0.638255"
"1","165","0.7793939999999999"
"1","2090","0.594366"
"1","864","0.45723500000000006"
"1","16","0.929891"
"1","473","0.27915100000000004"
"1","1014","0.9698209999999999"
"1","544","0.9171290000000001"
"1","413","0.851692"
"1","2579","0.8008270000000001"
"1","1528","0.774941"
"1","2501","0.765733"
"1","1042","0.9262030000000001"
"1","585","0.454363"
"1","122","0.347567"
"1","2426","0.744678"
"1","137","0.8684940000000001"
"1","488","0.294171"
"1","961","0.820658"
"1","355","0.510941"
"1","37","0.7149310000000001"
"1","271","0.9285100000000001"
"1","912","0.9539110000000001"
"1","1332","0.9358059999999999"
"1","1275","0.787691"
"1","1960","0.800143"
"1","2518","0.7847890000000001"
"1","1028","0.91381"
"1","18","0.982075"
"1","734","0.946794"
"1","2496","0.295056"
"1","799","0.8749819999999999"
"1","1503","0.8605"
"1","376","0.86198"
"1","56","0.539975"
"1","960","0.661855"
"1","911","0.8504149999999999"
"1","1180","0.8463729999999999"
"1","381","0.93671"
"1","410","0.5936"
"1","1952","0.37764200000000003"
"1","1680","0.8578819999999999"
"1","735","0.855032"
"1","882","0.580099"
"1","993","0.8917790000000001"
"1","371","0.5873619999999999"
"1","151","0.541482"
"1","74","0.9503209999999999"
"1","277","0.6334770000000001"
"1","50","0.463109"
"1","1330","0.793459"
"1","886","0.936291"
"1","2578","0.403114"
"1","1196","0.8684120000000001"
"1","1815","0.8185180000000001"
"1","2342","0.650947"
"1","790","0.932159"
"1","1499","0.778172"
"1","1178","0.930465"
"1","353","0.929156"
