"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00265957446808511,376,-0.0157701838919944,0.12718384267561
"0.05-0.10",4,0.0106382978723404,376,-0.0483329232156383,0.12718384267561
"0.10-0.15",1,0.00265957446808511,376,-0.0157701838919944,0.12718384267561
"0.15-0.20",0,0,376,0,0.12718384267561
"0.20-0.25",0,0,376,0,0.12718384267561
"0.25-0.30",1,0.00265957446808511,376,-0.0157701838919944,0.12718384267561
"0.30-0.35",0,0,376,0,0.12718384267561
"0.35-0.40",0,0,376,0,0.12718384267561
"0.40-0.45",0,0,376,0,0.12718384267561
"0.45-0.50",0,0,376,0,0.12718384267561
"0.50-0.55",1,0.00265957446808511,376,-0.0157701838919944,0.12718384267561
"0.55-0.60",0,0,376,0,0.12718384267561
"0.60-0.65",0,0,376,0,0.12718384267561
"0.65-0.70",0,0,376,0,0.12718384267561
"0.70-0.75",0,0,376,0,0.12718384267561
"0.75-0.80",1,0.00265957446808511,376,-0.0157701838919944,0.12718384267561
"0.80-0.85",0,0,376,0,0.12718384267561
"0.85-0.90",0,0,376,0,0.12718384267561
"0.90-0.95",0,0,376,0,0.12718384267561
"0.95-1.00",0,0,376,0,0.12718384267561
