"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.0121951219512195,82,-0.0537404786251738,0.416040192449984
"0.05-0.10",4,0.0487804878048781,82,-0.147337799324115,0.416040192449984
"0.10-0.15",1,0.0121951219512195,82,-0.0537404786251738,0.416040192449984
"0.15-0.20",0,0,82,0,0.416040192449984
"0.20-0.25",0,0,82,0,0.416040192449984
"0.25-0.30",1,0.0121951219512195,82,-0.0537404786251738,0.416040192449984
"0.30-0.35",0,0,82,0,0.416040192449984
"0.35-0.40",0,0,82,0,0.416040192449984
"0.40-0.45",0,0,82,0,0.416040192449984
"0.45-0.50",0,0,82,0,0.416040192449984
"0.50-0.55",1,0.0121951219512195,82,-0.0537404786251738,0.416040192449984
"0.55-0.60",0,0,82,0,0.416040192449984
"0.60-0.65",0,0,82,0,0.416040192449984
"0.65-0.70",0,0,82,0,0.416040192449984
"0.70-0.75",0,0,82,0,0.416040192449984
"0.75-0.80",1,0.0121951219512195,82,-0.0537404786251738,0.416040192449984
"0.80-0.85",0,0,82,0,0.416040192449984
"0.85-0.90",0,0,82,0,0.416040192449984
"0.90-0.95",0,0,82,0,0.416040192449984
"0.95-1.00",0,0,82,0,0.416040192449984
