"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00740740740740741,135,-0.0363353687291736,0.285942930084936
"0.05-0.10",4,0.0296296296296296,135,-0.104266086439068,0.285942930084936
"0.10-0.15",1,0.00740740740740741,135,-0.0363353687291736,0.285942930084936
"0.15-0.20",0,0,135,0,0.285942930084936
"0.20-0.25",0,0,135,0,0.285942930084936
"0.25-0.30",1,0.00740740740740741,135,-0.0363353687291736,0.285942930084936
"0.30-0.35",0,0,135,0,0.285942930084936
"0.35-0.40",0,0,135,0,0.285942930084936
"0.40-0.45",0,0,135,0,0.285942930084936
"0.45-0.50",0,0,135,0,0.285942930084936
"0.50-0.55",1,0.00740740740740741,135,-0.0363353687291736,0.285942930084936
"0.55-0.60",0,0,135,0,0.285942930084936
"0.60-0.65",0,0,135,0,0.285942930084936
"0.65-0.70",0,0,135,0,0.285942930084936
"0.70-0.75",0,0,135,0,0.285942930084936
"0.75-0.80",1,0.00740740740740741,135,-0.0363353687291736,0.285942930084936
"0.80-0.85",0,0,135,0,0.285942930084936
"0.85-0.90",0,0,135,0,0.285942930084936
"0.90-0.95",0,0,135,0,0.285942930084936
"0.95-1.00",0,0,135,0,0.285942930084936
