"Stratum","Count","pi","Total","pi_ln_pi","shannon_index"
"0.70-0.75",37,0.0617696160267112,599,-0.171987840337955,1.68848102827291
"0.75-0.80",55,0.0918196994991653,599,-0.219258869296434,1.68848102827291
"0.80-0.85",108,0.180300500834725,599,-0.308878263884896,1.68848102827291
"0.85-0.90",78,0.130217028380634,599,-0.265454284092182,1.68848102827291
"0.90-0.95",182,0.303839732888147,599,-0.361950573971678,1.68848102827291
"0.95-1.00",179,0.298831385642738,599,-0.360951196689767,1.68848102827291
