"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00769230769230769,130,-0.0374425726958122,0.294327943150928
"0.05-0.10",4,0.0307692307692308,130,-0.107115079671867,0.294327943150928
"0.10-0.15",1,0.00769230769230769,130,-0.0374425726958122,0.294327943150928
"0.15-0.20",0,0,130,0,0.294327943150928
"0.20-0.25",0,0,130,0,0.294327943150928
"0.25-0.30",1,0.00769230769230769,130,-0.0374425726958122,0.294327943150928
"0.30-0.35",0,0,130,0,0.294327943150928
"0.35-0.40",0,0,130,0,0.294327943150928
"0.40-0.45",0,0,130,0,0.294327943150928
"0.45-0.50",0,0,130,0,0.294327943150928
"0.50-0.55",1,0.00769230769230769,130,-0.0374425726958122,0.294327943150928
"0.55-0.60",0,0,130,0,0.294327943150928
"0.60-0.65",0,0,130,0,0.294327943150928
"0.65-0.70",0,0,130,0,0.294327943150928
"0.70-0.75",0,0,130,0,0.294327943150928
"0.75-0.80",1,0.00769230769230769,130,-0.0374425726958122,0.294327943150928
"0.80-0.85",0,0,130,0,0.294327943150928
"0.85-0.90",0,0,130,0,0.294327943150928
"0.90-0.95",0,0,130,0,0.294327943150928
"0.95-1.00",0,0,130,0,0.294327943150928
