"ATTRIBUTE_Strain","id","MQScore"
"171","1964","0.550612"
"171","1858","0.863456"
"171","1070","0.722402"
"171","2542","0.849928"
"171","1386","0.789229"
"171","1167","0.9541360000000001"
"171","2414","0.723683"
"171","437","0.965032"
"171","1351","0.9354399999999999"
"171","2529","0.329436"
"171","203","0.93904"
"171","624","0.8994719999999999"
"171","2213","0.9466549999999999"
"171","1177","0.779072"
"171","158","0.878765"
"171","2339","0.658071"
"171","2334","0.713969"
"171","2313","0.697766"
"171","1534","0.9038219999999999"
"171","1354","0.532782"
"171","1069","0.607068"
"171","1500","0.810052"
"171","1706","0.858031"
"171","2447","0.8348549999999999"
"171","891","0.9494790000000001"
"171","1502","0.847724"
"171","1277","0.63007"
"171","1636","0.493123"
"171","994","0.8201"
"171","131","0.817293"
"171","113","0.971548"
"171","1535","0.8151149999999999"
"171","2092","0.814929"
"171","2090","0.594366"
"171","2523","0.8633780000000001"
"171","16","0.929891"
"171","473","0.27915100000000004"
"171","663","0.614057"
"171","980","0.79671"
"171","544","0.9171290000000001"
"171","413","0.851692"
"171","2579","0.8008270000000001"
"171","2501","0.765733"
"171","469","0.9773299999999999"
"171","2426","0.744678"
"171","1895","0.832393"
"171","488","0.294171"
"171","37","0.7149310000000001"
"171","912","0.9539110000000001"
"171","974","0.786275"
"171","1275","0.787691"
"171","1960","0.800143"
"171","799","0.8749819999999999"
"171","1123","0.766197"
"171","588","0.92227"
"171","1503","0.8605"
"171","956","0.684437"
"171","552","0.563154"
"171","911","0.8504149999999999"
"171","1180","0.8463729999999999"
"171","410","0.5936"
"171","1952","0.37764200000000003"
"171","882","0.580099"
"171","993","0.8917790000000001"
"171","277","0.6334770000000001"
"171","657","0.765733"
"171","1330","0.793459"
"171","886","0.936291"
"171","2578","0.403114"
"171","953","0.9078360000000001"
"171","1815","0.8185180000000001"
"171","2342","0.650947"
"171","1499","0.778172"
"171","1178","0.930465"
"171","935","0.831509"
