"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00123456790123457,810,-0.00826794351563763,0.0675655935611343
"0.05-0.10",4,0.00493827160493827,810,-0.0262258759829461,0.0675655935611343
"0.10-0.15",1,0.00123456790123457,810,-0.00826794351563763,0.0675655935611343
"0.15-0.20",0,0,810,0,0.0675655935611343
"0.20-0.25",0,0,810,0,0.0675655935611343
"0.25-0.30",1,0.00123456790123457,810,-0.00826794351563763,0.0675655935611343
"0.30-0.35",0,0,810,0,0.0675655935611343
"0.35-0.40",0,0,810,0,0.0675655935611343
"0.40-0.45",0,0,810,0,0.0675655935611343
"0.45-0.50",0,0,810,0,0.0675655935611343
"0.50-0.55",1,0.00123456790123457,810,-0.00826794351563763,0.0675655935611343
"0.55-0.60",0,0,810,0,0.0675655935611343
"0.60-0.65",0,0,810,0,0.0675655935611343
"0.65-0.70",0,0,810,0,0.0675655935611343
"0.70-0.75",0,0,810,0,0.0675655935611343
"0.75-0.80",1,0.00123456790123457,810,-0.00826794351563763,0.0675655935611343
"0.80-0.85",0,0,810,0,0.0675655935611343
"0.85-0.90",0,0,810,0,0.0675655935611343
"0.90-0.95",0,0,810,0,0.0675655935611343
"0.95-1.00",0,0,810,0,0.0675655935611343
