"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00206185567010309,485,-0.0127508224555412,0.103324046544243
"0.05-0.10",4,0.00824742268041237,485,-0.0395699342665368,0.103324046544243
"0.10-0.15",1,0.00206185567010309,485,-0.0127508224555412,0.103324046544243
"0.15-0.20",0,0,485,0,0.103324046544243
"0.20-0.25",0,0,485,0,0.103324046544243
"0.25-0.30",1,0.00206185567010309,485,-0.0127508224555412,0.103324046544243
"0.30-0.35",0,0,485,0,0.103324046544243
"0.35-0.40",0,0,485,0,0.103324046544243
"0.40-0.45",0,0,485,0,0.103324046544243
"0.45-0.50",0,0,485,0,0.103324046544243
"0.50-0.55",1,0.00206185567010309,485,-0.0127508224555412,0.103324046544243
"0.55-0.60",0,0,485,0,0.103324046544243
"0.60-0.65",0,0,485,0,0.103324046544243
"0.65-0.70",0,0,485,0,0.103324046544243
"0.70-0.75",0,0,485,0,0.103324046544243
"0.75-0.80",1,0.00206185567010309,485,-0.0127508224555412,0.103324046544243
"0.80-0.85",0,0,485,0,0.103324046544243
"0.85-0.90",0,0,485,0,0.103324046544243
"0.90-0.95",0,0,485,0,0.103324046544243
"0.95-1.00",0,0,485,0,0.103324046544243
