"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00209643605870021,477,-0.0129298039641265,0.10474312573064
"0.05-0.10",4,0.00838574423480084,477,-0.040094105910008,0.10474312573064
"0.10-0.15",1,0.00209643605870021,477,-0.0129298039641265,0.10474312573064
"0.15-0.20",0,0,477,0,0.10474312573064
"0.20-0.25",0,0,477,0,0.10474312573064
"0.25-0.30",1,0.00209643605870021,477,-0.0129298039641265,0.10474312573064
"0.30-0.35",0,0,477,0,0.10474312573064
"0.35-0.40",0,0,477,0,0.10474312573064
"0.40-0.45",0,0,477,0,0.10474312573064
"0.45-0.50",0,0,477,0,0.10474312573064
"0.50-0.55",1,0.00209643605870021,477,-0.0129298039641265,0.10474312573064
"0.55-0.60",0,0,477,0,0.10474312573064
"0.60-0.65",0,0,477,0,0.10474312573064
"0.65-0.70",0,0,477,0,0.10474312573064
"0.70-0.75",0,0,477,0,0.10474312573064
"0.75-0.80",1,0.00209643605870021,477,-0.0129298039641265,0.10474312573064
"0.80-0.85",0,0,477,0,0.10474312573064
"0.85-0.90",0,0,477,0,0.10474312573064
"0.90-0.95",0,0,477,0,0.10474312573064
"0.95-1.00",0,0,477,0,0.10474312573064
