"Stratum","Count","pi","Total","pi_ln_pi","shannon_index"
"0.70-0.75",35,0.0717213114754098,488,-0.188983313632645,1.7583057648079
"0.75-0.80",47,0.0963114754098361,488,-0.225385013923617,1.7583057648079
"0.80-0.85",77,0.157786885245902,488,-0.291355058950735,1.7583057648079
"0.85-0.90",100,0.204918032786885,488,-0.324824840136282,1.7583057648079
"0.90-0.95",155,0.317622950819672,488,-0.364278677837612,1.7583057648079
"0.95-1.00",208,0.426229508196721,488,-0.363478860327009,1.7583057648079
