"Stratum","Count","pi","Total","pi_ln_pi","shannon_index"
"0.70-0.75",34,0.0627306273062731,542,-0.173695177512912,1.65058963350066
"0.75-0.80",39,0.0719557195571956,542,-0.189366180548137,1.65058963350066
"0.80-0.85",105,0.193726937269373,542,-0.317965116945799,1.65058963350066
"0.85-0.90",58,0.107011070110701,542,-0.239150799763482,1.65058963350066
"0.90-0.95",169,0.311808118081181,542,-0.363370980482105,1.65058963350066
"0.95-1.00",213,0.392988929889299,542,-0.367041378248223,1.65058963350066
