"Stratum","MQScore_Count","Cosine_Score_Count"
"0.01-0.06",9,7
"0.06-0.11",7,5
"0.11-0.16",3,16
"0.16-0.21",2,8
"0.21-0.26",3,17
"0.26-0.31",0,15
"0.31-0.36",0,NA
"0.36-0.41",0,NA
"0.41-0.46",1,NA
"0.46-0.51",1,NA
"0.51-0.56",2,NA
"0.56-0.61",0,NA
"0.61-0.66",1,NA
"0.66-0.71",1,NA
"0.71-0.76",4,NA
"0.76-0.81",6,NA
"0.81-0.86",0,NA
"0.86-0.91",1,NA
"0.91-0.96",1,NA
"Shannon_Index",2.33156511939029,1.69817105281843
