"Stratum","MQScore_Count","Cosine_Score_Count"
"0.01-0.06",12,4
"0.06-0.11",9,13
"0.11-0.16",6,16
"0.16-0.21",1,23
"0.21-0.26",1,19
"0.26-0.31",2,29
"0.31-0.36",0,NA
"0.36-0.41",0,NA
"0.41-0.46",0,NA
"0.46-0.51",0,NA
"0.51-0.56",0,NA
"0.56-0.61",0,NA
"0.61-0.66",0,NA
"0.66-0.71",2,NA
"0.71-0.76",2,NA
"0.76-0.81",2,NA
"0.81-0.86",2,NA
"0.86-0.91",2,NA
"0.91-0.96",2,NA
"Shannon_Index",2.13216480553799,1.67359065599275
