"Stratum","MQScore_Count","Cosine_Score_Count"
"0.01-0.06",2,4
"0.06-0.11",6,5
"0.11-0.16",1,7
"0.16-0.21",2,7
"0.21-0.26",3,70
"0.26-0.31",6,77
"0.31-0.36",1,NA
"0.36-0.41",0,NA
"0.41-0.46",1,NA
"0.46-0.51",0,NA
"0.51-0.56",1,NA
"0.56-0.61",1,NA
"0.61-0.66",1,NA
"0.66-0.71",1,NA
"0.71-0.76",4,NA
"0.76-0.81",8,NA
"0.81-0.86",1,NA
"0.86-0.91",0,NA
"0.91-0.96",2,NA
"Shannon_Index",2.46633930187458,1.17872318105254
