"UniqueFileSources","id","MQScore","cosine_score"
"H941-3-EA.mzXML","119241","0.348258",0.7155
"H941-3-EA.mzXML","119246","0.272498",NA
"H941-3-EA.mzXML","119248","0.260205",NA
"H941-3-EA.mzXML","119262","0.215798",0.8808
"H941-3-EA.mzXML","119262","0.215798",0.8389
"H941-3-EA.mzXML","119262","0.215798",0.8059
"H941-3-EA.mzXML","140226","0.08912869999999999",NA
"H941-3-EA.mzXML","155486","0.0889918",NA
"H941-3-EA.mzXML","164348","0.323239",NA
"H941-3-EA.mzXML","164851","0.16986700000000002",0.9428
"H941-3-EA.mzXML","164851","0.16986700000000002",0.9568
"H941-3-EA.mzXML","164851","0.16986700000000002",0.9488
"H941-3-EA.mzXML","167655","0.80609",0.7924
"H941-3-EA.mzXML","167655","0.80609",0.7876
"H941-3-EA.mzXML","167655","0.80609",0.7613
"H941-3-EA.mzXML","168113","0.22355799999999998",NA
"H941-3-EA.mzXML","168475","0.141016",NA
"H941-3-EA.mzXML","168637","0.0300096",NA
"H941-3-EA.mzXML","170259","0.07020080000000001",0.7745
"H941-3-EA.mzXML","172867","0.109648",NA
"H941-3-EA.mzXML","176999","0.058812300000000005",NA
"H941-3-EA.mzXML","181515","0.721566",0.9404
"H941-3-EA.mzXML","181515","0.721566",0.8404
"H941-3-EA.mzXML","181515","0.721566",0.8161
"H941-3-EA.mzXML","181515","0.721566",0.8933
"H941-3-EA.mzXML","181515","0.721566",0.9035
"H941-3-EA.mzXML","181515","0.721566",0.9873
"H941-3-EA.mzXML","181515","0.721566",0.815
"H941-3-EA.mzXML","181515","0.721566",0.9137
"H941-3-EA.mzXML","181515","0.721566",0.9832
"H941-3-EA.mzXML","181515","0.721566",0.8174
"H941-3-EA.mzXML","181517","0.799732",0.8902
"H941-3-EA.mzXML","181517","0.799732",0.891
"H941-3-EA.mzXML","181517","0.799732",0.9039
"H941-3-EA.mzXML","181517","0.799732",0.9283
"H941-3-EA.mzXML","181517","0.799732",0.9806
"H941-3-EA.mzXML","181517","0.799732",0.8258
"H941-3-EA.mzXML","181517","0.799732",0.8691
"H941-3-EA.mzXML","181517","0.799732",0.831
"H941-3-EA.mzXML","181517","0.799732",0.9873
"H941-3-EA.mzXML","183549","0.0484102",NA
"H941-3-EA.mzXML","186573","0.149428",0.9454
"H941-3-EA.mzXML","186573","0.149428",0.9769
"H941-3-EA.mzXML","187130","0.146425",NA
"H941-3-EA.mzXML","187629","0.163322",NA
"H941-3-EA.mzXML","188274","0.056605600000000006",NA
"H941-3-EA.mzXML","199053","0.192987",NA
"H941-3-EA.mzXML","199131","0.121004",0.7745
"H941-3-EA.mzXML","199131","0.121004",0.8458
"H941-3-EA.mzXML","201308","0.308116",0.893
"H941-3-EA.mzXML","201308","0.308116",0.9692
"H941-3-EA.mzXML","207746","0.0458286",NA
"H941-3-EA.mzXML","210463","0.100311",0.8732
"H941-3-EA.mzXML","214133","0.0525871",0.8533
"H941-3-EA.mzXML","214133","0.0525871",0.7521
"H941-3-EA.mzXML","214133","0.0525871",0.7682
"H941-3-EA.mzXML","214133","0.0525871",0.8934
"H941-3-EA.mzXML","214133","0.0525871",0.7122
"H941-3-EA.mzXML","214140","0.0857882",0.8934
"H941-3-EA.mzXML","214140","0.0857882",0.7157
"H941-3-EA.mzXML","214140","0.0857882",0.8119
"H941-3-EA.mzXML","214140","0.0857882",0.7544
"H941-3-EA.mzXML","223632","0.018853099999999998",0.9911
"H941-3-EA.mzXML","223632","0.018853099999999998",0.9844
"H941-3-EA.mzXML","223632","0.018853099999999998",0.9632
"H941-3-EA.mzXML","223634","0.022246099999999998",0.9873
"H941-3-EA.mzXML","223634","0.022246099999999998",0.9911
"H941-3-EA.mzXML","223634","0.022246099999999998",0.9657
"H941-3-EA.mzXML","229876","0.020273",0.9149
"H941-3-EA.mzXML","231507","0.055889999999999995",0.8249
"H941-3-EA.mzXML","240930","0.0984455",0.8331
"H941-3-EA.mzXML","240930","0.0984455",0.9149
"H941-3-EA.mzXML","252","0.0400325",0.8721
"H941-3-EA.mzXML","252","0.0400325",0.8791
"H941-3-EA.mzXML","252","0.0400325",0.8894
"H941-3-EA.mzXML","252","0.0400325",0.9187
"H941-3-EA.mzXML","252","0.0400325",0.8225
"H941-3-EA.mzXML","252","0.0400325",0.8133
"H941-3-EA.mzXML","252","0.0400325",0.8571
"H941-3-EA.mzXML","254","0.014247399999999999",0.9187
"H941-3-EA.mzXML","254","0.014247399999999999",0.8733
"H941-3-EA.mzXML","254","0.014247399999999999",0.876
"H941-3-EA.mzXML","254","0.014247399999999999",0.8533
"H941-3-EA.mzXML","254","0.014247399999999999",0.7957
"H941-3-EA.mzXML","275099","0.065737",0.9763
"H941-3-EA.mzXML","275099","0.065737",0.9832
"H941-3-EA.mzXML","275099","0.065737",0.9814
"H941-3-EA.mzXML","278036","0.745055",0.7473
"H941-3-EA.mzXML","296757","0.189937",0.9476
"H941-3-EA.mzXML","298790","0.12572",0.9476
"H941-3-EA.mzXML","300474","0.108528",0.7556
"H941-3-EA.mzXML","300474","0.108528",0.7608
