"Stratum","MQScore_Count","Cosine_Score_Count"
"0.01-0.06",8,7
"0.06-0.11",7,9
"0.11-0.16",4,17
"0.16-0.21",2,31
"0.21-0.26",2,44
"0.26-0.31",2,47
"0.31-0.36",2,NA
"0.36-0.41",0,NA
"0.41-0.46",1,NA
"0.46-0.51",1,NA
"0.51-0.56",2,NA
"0.56-0.61",0,NA
"0.61-0.66",2,NA
"0.66-0.71",1,NA
"0.71-0.76",6,NA
"0.76-0.81",9,NA
"0.81-0.86",2,NA
"0.86-0.91",2,NA
"0.91-0.96",0,NA
"Shannon_Index",2.50957467352082,1.5887418678858
