"Sample","Hmsq","Hcos","Nsna","IQ"
"B440-3-Bu.mzXML",2.3612878912757,1.67308865314183,0.358855924675786,3.67552061974175
"B440-3-EA.mzXML",2.10031584362168,1.48272095872755,0.198969621602416,3.38406718074681
"B440-3-Me.mzXML",1.97023664282033,1.66688933074878,0.476105880262924,3.16102009330618
"B458-3-Bu.mzXML",1.97450927392505,1.68354556498808,0.23094688221709,3.42710795669604
"B458-3-EA.mzXML",2.04410244455108,1.56038653124479,0.294901403446438,3.30958757234943
"B458-3-Me.mzXML",2.06308390480784,1.71909574041997,0.326878664061112,3.45530098116671
"B476-3-Bu.mzXML",1.88079829554511,1.65297618285085,0.15988630307337,3.37388817532258
"B476-3-EA.mzXML",2.18210256917056,1.54407052391703,0.234499911174276,3.49167318191331
"B476-3-Me.mzXML",2.05630599843756,1.6832639939802,0.24871202700302,3.49085796541474
"B527-3-Bu.mzXML",1.90476880365531,1.36208466253837,0.110143897672766,3.15670956852091
"B527-3-EA.mzXML",1.88822235413105,1.44929147321007,0.26647717178895,3.07103665555216
"B527-3-Me.mzXML",1.64591683001747,1.38629436111989,0.206075679516788,2.82613551162057
"B536-3-Bu.mzXML",2.13216480553799,1.67359065599275,0.198969621602416,3.60678583992833
"B536-3-EA.mzXML",2.20899177786137,1.64297824092763,0.191863563688044,3.66010645510096
"B536-3-Me.mzXML",2.10976493116456,1.63876609266155,0.365961982590158,3.38256904123595
"H643-3-Bu.mzXML",1.73512645696292,1.68807081313172,0.042636347486232,3.38056092260841
"H643-3-EA.mzXML",1.73512645696292,1.54535006114478,0.049742405400604,3.2307341127071
"H643-3-Me.mzXML",2.13338193026454,1.51108617607361,0.120802984544324,3.52366512179383
"H646-3-Bu.mzXML",2.29820602503921,1.48861454768995,0.476105880262924,3.31071469246624
"H646-3-EA.mzXML",2.36529184938689,1.62531710952843,0.415704387990762,3.57490457092456
"H646-3-Me.mzXML",2.3326365171617,1.72829954142198,0.557825546278202,3.50311051230548
"H713-3-Bu.mzXML",2.13833305950803,1.75509872507838,0.110143897672766,3.78328788691364
"H713-3-EA.mzXML",2.08655562031906,1.6484074319048,0.152780245158998,3.58218280706486
"H713-3-Me.mzXML",1.87627358443028,1.51830788480107,0.170545389944928,3.22403607928642
"H718-3-Bu.mzXML",1.03972077083992,1.65655112669665,0.003553028957186,2.69271886857939
"H718-3-EA.mzXML",1.33217904021012,1.51541251788873,0.01776514478593,2.82982641331293
"H718-3-Me.mzXML",0.636514168294813,0.636514168294813,0.028424231657488,1.24460410493214
"H721-3-Bu.mzXML",2.69344990820991,1.73739568662203,0.191863563688044,4.2389820311439
"H721-3-EA.mzXML",2.20376563032251,1.61691042090843,0.209628708473974,3.61104734275697
"H721-3-Me.mzXML",1.90518730002808,1.63487183721886,0.280689287617694,3.25936984962924
"H732-3-Bu.mzXML",1.74786809746676,1.4712347922029,0.056848463314976,3.16225442635468
"H732-3-EA.mzXML",2.0228085294147,1.44292883705457,0.063954521229348,3.40178284523993
"H732-3-Me.mzXML",1.8446214763655,1.59803736366301,0.063954521229348,3.37870431879916
"H877-3-Bu.mzXML",1.5498260458782,1.21104401678012,0.099484810801208,2.66138525185712
"H877-3-EA.mzXML",1.88334380984332,1.57516843460465,0.23094688221709,3.22756536223088
"H877-3-Me.mzXML",1.67311836264325,1.2672355454599,0.191863563688044,2.7484903444151
"H898-3-Bu.mzXML",2.46633930187458,1.17872318105254,0.383727127376088,3.26133535555103
"H898-3-EA.mzXML",2.30556000928601,1.23504266284942,0.412151359033576,3.12845131310185
"H898-3-Me.mzXML",2.25105469081748,1.73552357938854,0.525848285663528,3.4607299845425
"H905-3-Bu.mzXML",2.16360343296458,1.69738075163308,0.33753775093267,3.523446433665
"H905-3-EA.mzXML",1.92389787063123,1.66548263307216,0.323325635103926,3.26605486859946
"H905-3-Me.mzXML",2.20995604752534,1.65795442879555,0.415704387990762,3.45220608833013
"H941-3-Bu.mzXML",2.1933390710762,1.57470304362378,0.369515011547344,3.39852710315264
"H941-3-EA.mzXML",2.11010054081116,1.68772416995438,0.376621069461716,3.42120364130382
"H941-3-Me.mzXML",1.99196482023193,1.635963230039,0.483211938177296,3.14471611209363
"H962-3-Bu.mzXML",1.76289589444955,1.34450149206471,0.600461893764434,2.50693549274983
"H962-3-EA.mzXML",1.70933759288152,1.29007657338665,0.412151359033576,2.5872628072346
"H962-3-Me.mzXML",2.18059629635797,1.38262115178106,0.682181559779712,2.88103588835932
"H963-3-Bu.mzXML",1.71664862643964,1.26748873344763,1.00550719488364,1.97863016500363
"H963-3-EA.mzXML",1.92255508688732,1.52706134635115,1.05524960028424,2.39436683295423
"H963-3-Me.mzXML",1.94296394439257,1.3841849173136,1.25777225084384,2.06937661086232
"H964-3-Bu.mzXML",2.29351663647012,1.69721390418276,0.294901403446438,3.69582913720644
"H964-3-EA.mzXML",2.13755067278773,1.68859497920162,0.333984721975484,3.49216093001387
"H964-3-Me.mzXML",2.12930626595252,1.68206923654512,0.412151359033576,3.39922414346406
