"Stratum","MQScore_Count","Cosine_Score_Count"
"0.01-0.06",11,11
"0.06-0.11",12,17
"0.11-0.16",4,15
"0.16-0.21",3,38
"0.21-0.26",0,49
"0.26-0.31",3,48
"0.31-0.36",2,NA
"0.36-0.41",0,NA
"0.41-0.46",0,NA
"0.46-0.51",0,NA
"0.51-0.56",0,NA
"0.56-0.61",0,NA
"0.61-0.66",1,NA
"0.66-0.71",1,NA
"0.71-0.76",1,NA
"0.76-0.81",2,NA
"0.81-0.86",1,NA
"0.86-0.91",6,NA
"0.91-0.96",3,NA
"Shannon_Index",2.20899177786137,1.64297824092763
